graph_id,graph_label,node_id,degree,pagerank
0,1,0,6,0.142857
0,1,1,6,0.142857
0,1,2,6,0.142857
0,1,3,6,0.142857
0,1,4,6,0.142857
0,1,5,6,0.142857
0,1,6,6,0.142857
1,1,0,6,0.072152
1,1,1,6,0.072152
1,1,2,6,0.072152
1,1,3,6,0.072152
1,1,4,12,0.134171
1,1,5,6,0.072152
1,1,6,6,0.072152
1,1,7,6,0.072152
1,1,8,6,0.072152
1,1,9,6,0.072152
1,1,10,6,0.072152
1,1,11,6,0.072152
1,1,12,6,0.072152
2,1,0,6,0.142857
2,1,1,6,0.142857
2,1,2,6,0.142857
2,1,3,6,0.142857
2,1,4,6,0.142857
2,1,5,6,0.142857
2,1,6,6,0.142857
3,1,0,6,0.142857
3,1,1,6,0.142857
3,1,2,6,0.142857
3,1,3,6,0.142857
3,1,4,6,0.142857
3,1,5,6,0.142857
3,1,6,6,0.142857
4,1,0,3,0.070391
4,1,1,6,0.104227
4,1,2,6,0.104227
4,1,3,3,0.070391
4,1,4,6,0.104227
4,1,5,6,0.104227
4,1,6,6,0.104227
4,1,7,9,0.163462
4,1,8,6,0.104227
4,1,9,3,0.070391
5,1,0,3,0.101879
5,1,1,3,0.101879
5,1,2,3,0.101879
5,1,3,4,0.121443
5,1,4,7,0.20859
5,1,5,4,0.121443
5,1,6,4,0.121443
5,1,7,4,0.121443
6,1,0,6,0.142857
6,1,1,6,0.142857
6,1,2,6,0.142857
6,1,3,6,0.142857
6,1,4,6,0.142857
6,1,5,6,0.142857
6,1,6,6,0.142857
7,1,0,3,0.101879
7,1,1,3,0.101879
7,1,2,7,0.20859
7,1,3,4,0.121443
7,1,4,3,0.101879
7,1,5,4,0.121443
7,1,6,4,0.121443
7,1,7,4,0.121443
8,1,0,6,0.072152
8,1,1,6,0.072152
8,1,2,6,0.072152
8,1,3,12,0.134171
8,1,4,6,0.072152
8,1,5,6,0.072152
8,1,6,6,0.072152
8,1,7,6,0.072152
8,1,8,6,0.072152
8,1,9,6,0.072152
8,1,10,6,0.072152
8,1,11,6,0.072152
8,1,12,6,0.072152
9,1,0,5,0.039606
